paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R576748,45,63,19,27,27,45,37
R576757,67,92,26,42,42,67,57
R576765,75,105,30,45,45,75,64
R576776,65,90,26,40,40,65,58
R158044,85,137,43,33,33,85,56
R576789,45,63,19,27,27,45,37
R576793,51,73,23,29,29,51,41
R576802,49,69,21,29,29,49,41
R578004,44,62,19,26,26,44,37
R578008,46,64,19,28,28,46,37
R578016,44,62,19,26,26,44,37
R578020,68,93,26,43,43,68,58
R578027,64,89,26,39,39,64,57
R578035,52,74,23,30,30,52,42
R578043,44,63,20,25,25,44,38
R578050,67,92,26,42,42,67,57
R578059,82,119,35,45,45,82,56
R580049,72,100,29,44,44,72,63
R580056,44,62,19,26,26,44,36
R580060,63,87,25,39,39,63,56
R580068,63,88,26,38,38,63,56
R580077,79,111,32,47,47,79,60
R580091,81,120,37,42,42,81,56
R580100,64,90,27,38,38,64,56
R580108,79,112,30,46,46,79,56
R580119,64,91,28,37,37,64,58
R580127,63,88,26,38,38,63,56
R580133,75,102,28,48,48,75,64
R580141,72,102,29,42,42,72,56
R580149,48,68,21,28,28,48,40
R583009,45,63,19,27,27,45,36
R583013,63,88,26,38,38,63,56
R583022,73,102,28,44,44,73,57
R583034,71,98,28,44,44,71,56
R583048,65,91,27,39,39,65,56
R583052,45,63,19,27,27,45,36
R583056,66,93,28,39,39,66,56
R583066,64,89,26,39,39,64,56
R583074,65,89,25,41,41,65,57
R583082,50,70,21,30,30,50,40
R583090,48,68,21,28,28,48,40
R583098,48,68,21,28,28,48,40
R583105,71,98,28,44,44,71,63
R583115,43,61,19,25,25,43,36
R583119,63,87,25,39,39,63,57
R583127,48,68,21,28,28,48,41
R583135,71,98,28,44,44,71,64
R583143,43,61,19,25,25,43,36
R583147,69,94,26,44,44,69,57
R583153,89,130,36,48,48,89,58
R583161,44,62,19,26,26,44,36
R583166,47,67,21,27,27,47,40
R583172,75,107,32,43,43,75,58
R583188,66,92,27,40,40,66,57
R583205,43,61,19,25,25,43,36
R583209,65,91,27,39,39,65,56
R583218,56,81,26,31,31,56,41
R583226,45,63,19,27,27,45,36
R583860,47,67,21,27,27,47,40
R583866,65,90,26,40,40,65,56
R583872,67,92,26,42,42,67,57
R583880,49,69,21,29,29,49,40
R583886,50,70,21,30,30,50,40
R583895,50,72,23,28,28,50,40
R583903,72,103,32,41,41,72,58
R583912,56,80,23,32,32,56,40
R583920,62,87,26,37,37,62,56
R583928,75,108,33,42,42,75,56
R583935,64,89,26,39,39,64,56
R583944,45,63,19,27,27,45,36
R583948,45,63,19,27,27,45,36
R583952,65,91,27,39,39,65,56
R584012,64,89,26,39,39,64,56
R584020,71,98,28,44,44,71,63
R584028,70,95,26,45,45,70,57
R584036,63,88,26,38,38,63,56
R584044,74,104,31,44,44,74,65
R584052,64,89,26,39,39,64,56
R584056,83,119,34,47,47,83,56
R584065,63,88,26,38,38,63,56
R584073,63,88,26,38,38,63,56
R584081,44,63,20,25,25,44,38
R584085,47,67,21,27,27,47,40
R584093,42,60,19,24,24,42,36
R584097,63,88,26,38,38,63,56
R584105,43,61,19,25,25,43,36
R584109,52,74,22,30,30,52,41
R584117,72,101,30,43,43,72,58
R586445,75,105,29,45,45,75,56
R586458,70,98,29,42,42,70,57
R586470,73,103,31,43,43,73,63
R586481,44,62,19,26,26,44,36
R586485,46,64,19,28,28,46,36
R586489,69,98,30,40,40,69,56
R586504,43,61,19,25,25,43,36
R586508,48,69,22,27,27,48,38
R586512,51,72,22,30,30,51,41
R586519,79,115,35,43,43,79,59
R586527,50,71,22,29,29,50,41
R587084,47,67,21,27,27,47,40
R587093,66,93,28,39,39,66,56
R587101,63,87,25,39,39,63,56
R587110,67,94,28,40,40,67,57
R587118,65,91,27,39,39,65,58
R587127,48,69,22,27,27,48,40
R587135,45,63,19,27,27,45,36
R587141,48,68,21,28,28,48,40
R587149,44,62,19,26,26,44,36
R587153,48,68,21,28,28,48,41
R588483,43,61,19,25,25,43,36
R588487,51,72,22,30,30,51,40
R588494,43,61,19,25,25,43,36
R588498,66,91,26,41,41,66,57
R588508,45,63,19,27,27,45,36
R588512,63,88,26,38,38,63,56
R588523,63,88,26,38,38,63,56
R588540,75,107,32,43,43,75,64
R588553,44,62,19,26,26,44,36
